Portfolio,Initial_DR,Final_DR,DR_Improvement,Initial_SR,Final_SR,SR_Improvement,Tickers
Portfolio_14,2.5271078154943845,3.596396374813685,42.313,0.3680810162131589,0.388675421853373,5.595,"['TECH', 'TSN', 'ON', 'GOOG', 'FTNT', 'CNC', 'COR', 'DIS', 'FOX', 'TTD', 'VZ', 'CMG', 'ADM', 'ACN', 'OMC']"
Portfolio_12,2.281940815989789,3.143950383965774,37.775,0.2864031028614325,0.4555210896262489,59.049,"['MTCH', 'AJG', 'LYB', 'GM', 'STZ', 'DFS', 'ACN', 'HWM', 'CMG', 'DOCU', 'DAL', 'DIS', 'ADM', 'TTD', 'META']"
Portfolio_8,2.2411671112910017,2.934651686192709,30.943,0.22485823775883176,0.3895430152242881,73.239,"['CB', 'TGT', 'NET', 'CMCSA', 'FOX', 'HWM', 'COR', 'META', 'JBL', 'TTD', 'ADM', 'DIS', 'CI', 'DFS', 'CMG']"
Portfolio_15,2.468815196324756,3.196148375516979,29.461,0.44369175210282774,0.4234877903881273,-4.554,"['INVH', 'F', 'LDOS', 'D', 'ES', 'GWW', 'ACN', 'DIS', 'CMG', 'BAC', 'ZTS', 'ADM', 'CNC', 'FTNT', 'FOX']"
Portfolio_11,2.1821279349195604,2.8237275580937147,29.402,0.4280167069336504,0.2820031448177038,-34.114,"['ZBRA', 'CAG', 'PRU', 'ANET', 'GEN', 'BLDR', 'CNC', 'ACN', 'HWM', 'GOOG', 'ADM', 'META', 'BAC', 'CI', 'OMC']"
Portfolio_13,2.4805190337137493,3.0998357846988758,24.967,0.2186450158403427,0.23786003213622936,8.788,"['VLO', 'WRB', 'STX', 'TTWO', 'AKAM', 'GIS', 'FFIV', 'BX', 'ACN', 'CNC', 'TTD', 'META', 'ADM', 'CMG', 'GOOGL']"
Portfolio_9,2.411661605854778,2.9836563886728995,23.718,0.2124849835727943,0.5072889804368144,138.741,"['BLK', 'ZTS', 'CNC', 'AJG', 'COF', 'DIS', 'GOOG', 'WFC', 'FOX', 'ACN', 'TTD', 'DFS', 'V', 'NVR', 'META']"
Portfolio_6,2.466697395923514,3.006120253391452,21.868,0.24363914447719345,0.3109690158292276,27.635,"['ODFL', 'LMT', 'BAC', 'OXY', 'IP', 'GM', 'DFS', 'CNC', 'CMG', 'ACN', 'STZ', 'CI', 'DIS', 'F', 'ZTS']"
Portfolio_10,2.5800476403588677,3.091885456992966,19.838,0.37105570452549924,0.3733834859925491,0.627,"['OKE', 'SPOT', 'CARR', 'AIG', 'CE', 'CNC', 'ACN', 'MTB', 'BAC', 'GM', 'CRL', 'COR', 'ADM', 'DFS', 'GOOG']"
Portfolio_2,2.5819870408573062,3.0862014601234713,19.528,0.47542705593370277,0.3911925245964559,-17.718,"['LIN', 'TPL', 'MTD', 'UBER', 'WFC', 'ABBV', 'CNP', 'ADM', 'ZTS', 'CMG', 'CI', 'GOOG', 'ACN', 'COR', 'META']"
Portfolio_3,2.8808275393088443,3.370507409456528,16.998,0.3492325041011157,0.1759461084622693,-49.619,"['AMT', 'FANG', 'BG', 'AKAM', 'FOX', 'CI', 'ACN', 'COR', 'ROP', 'GOOG', 'ZTS', 'VZ', 'CNC', 'STZ', 'EA']"
Portfolio_5,2.3484854928680914,2.742186596682043,16.764,0.27306851982396746,0.42071716229273254,54.07,"['EPAM', 'BF-B', 'CMG', 'SQ', 'TRGP', 'TECH', 'NVDA', 'JBHT', 'AMD', 'META', 'BKR', 'DFS', 'BAC', 'FOX', 'NVR']"
Portfolio_4,2.569120012266139,2.8728187067496003,11.821,0.3379054043202239,0.33630767997871197,-0.473,"['COST', 'EXC', 'MA', 'XOM', 'ADP', 'TWLO', 'GNRC', 'ACGL', 'GPN', 'GOOG', 'BAC', 'META', 'JBL', 'ADM', 'CMG']"
Portfolio_7,2.99628324255396,3.297009181606719,10.037,0.4702772179671172,0.5082934906687935,8.084,"['AMCR', 'TPL', 'CINF', 'GL', 'HIG', 'FTNT', 'ABT', 'F', 'JNPR', 'AVY', 'MOS', 'TSN', 'FI', 'LEN', 'CMG']"
Portfolio_1,3.052220762725798,3.052220824581391,0.0,0.38450046698253376,0.3844857260766938,-0.004,"['MSCI', 'HSY', 'MAR', 'BALL', 'EA', 'LLY', 'OXY', 'PM', 'FIS', 'CSGP', 'ROKU', 'HPQ', 'ELV', 'HST', 'CI']"
